Preferred_Name	Name	Source
ENSG00000002330	ENSG00000002330	Ensembl Gene ID
ENSG00000002330	ENSP00000309103	Ensembl Protein ID
ENSG00000002330	ENSP00000378039	Ensembl Protein ID
ENSG00000002330	ENSP00000378040	Ensembl Protein ID
ENSG00000002330	ENSP00000438975	Ensembl Protein ID
ENSG00000002330	ENSP00000439202	Ensembl Protein ID
ENSG00000002330	ENSP00000440575	Ensembl Protein ID
ENSG00000002330	572	Entrez Gene ID
ENSG00000002330	BAD	Gene Name
ENSG00000002330	NP_004313	RefSeq Protein ID
ENSG00000002330	NP_116784	RefSeq Protein ID
ENSG00000002330	NM_004322	RefSeq mRNA ID
ENSG00000002330	NM_032989	RefSeq mRNA ID
ENSG00000002330	BBC2	Synonym
ENSG00000002330	BCL2L8	Synonym
ENSG00000002330	Q92934	Uniprot ID
ENSG00000002745	ENSG00000002745	Ensembl Gene ID
ENSG00000002745	ENSP00000222462	Ensembl Protein ID
ENSG00000002745	ENSP00000355065	Ensembl Protein ID
ENSG00000002745	51384	Entrez Gene ID
ENSG00000002745	WNT16	Gene Name
ENSG00000002745	NP_057171	RefSeq Protein ID
ENSG00000002745	NP_476509	RefSeq Protein ID
ENSG00000002745	NM_016087	RefSeq mRNA ID
ENSG00000002745	NM_057168	RefSeq mRNA ID
ENSG00000002745	Q9UBV4	Uniprot ID
ENSG00000007933	ENSG00000007933	Ensembl Gene ID
ENSG00000007933	ENSP00000356729	Ensembl Protein ID
ENSG00000007933	ENSP00000476963	Ensembl Protein ID
ENSG00000007933	ENSP00000477451	Ensembl Protein ID
ENSG00000007933	2328	Entrez Gene ID
ENSG00000007933	FMO3	Gene Name
ENSG00000007933	NP_001002294	RefSeq Protein ID
ENSG00000007933	NP_001306102	RefSeq Protein ID
ENSG00000007933	NP_008825	RefSeq Protein ID
ENSG00000007933	NM_001002294	RefSeq mRNA ID
ENSG00000007933	NM_006894	RefSeq mRNA ID
ENSG00000007933	P31513	Uniprot ID
ENSG00000009694	ENSG00000009694	Ensembl Gene ID
ENSG00000009694	ENSP00000360171	Ensembl Protein ID
ENSG00000009694	ENSP00000403954	Ensembl Protein ID
ENSG00000009694	10178	Entrez Gene ID
ENSG00000009694	TENM1	Gene Name
ENSG00000009694	NP_001156750	RefSeq Protein ID
ENSG00000009694	NP_001156751	RefSeq Protein ID
ENSG00000009694	NP_055068	RefSeq Protein ID
ENSG00000009694	NM_001163278	RefSeq mRNA ID
ENSG00000009694	NM_001163279	RefSeq mRNA ID
ENSG00000009694	NM_014253	RefSeq mRNA ID
ENSG00000009694	ODZ1	Synonym
ENSG00000009694	TEN-M1	Synonym
ENSG00000009694	TNM	Synonym
ENSG00000009694	Q9UKZ4	Uniprot ID
ENSG00000011007	ENSG00000011007	Ensembl Gene ID
ENSG00000011007	ENSP00000395574	Ensembl Protein ID
ENSG00000011007	ENSP00000476781	Ensembl Protein ID
ENSG00000011007	ENSP00000484196	Ensembl Protein ID
ENSG00000011007	6924	Entrez Gene ID
ENSG00000011007	TCEB3	Gene Name
ENSG00000011007	NP_003189	RefSeq Protein ID
ENSG00000011007	NM_003198	RefSeq mRNA ID
ENSG00000011007	TCEB3A	Synonym
ENSG00000011007	Q14241	Uniprot ID
ENSG00000011332	ENSG00000011332	Ensembl Gene ID
ENSG00000011332	ENSP00000347716	Ensembl Protein ID
ENSG00000011332	ENSP00000390223	Ensembl Protein ID
ENSG00000011332	ENSP00000391884	Ensembl Protein ID
ENSG00000011332	ENSP00000397354	Ensembl Protein ID
ENSG00000011332	ENSP00000399015	Ensembl Protein ID
ENSG00000011332	ENSP00000408201	Ensembl Protein ID
ENSG00000011332	ENSP00000411569	Ensembl Protein ID
ENSG00000011332	ENSP00000412098	Ensembl Protein ID
ENSG00000011332	ENSP00000416347	Ensembl Protein ID
ENSG00000011332	ENSP00000465123	Ensembl Protein ID
ENSG00000011332	ENSP00000483226	Ensembl Protein ID
ENSG00000011332	8193	Entrez Gene ID
ENSG00000011332	DPF1	Gene Name
ENSG00000011332	NP_001128627	RefSeq Protein ID
ENSG00000011332	NP_001128628	RefSeq Protein ID
ENSG00000011332	NP_001276907	RefSeq Protein ID
ENSG00000011332	NP_004638	RefSeq Protein ID
ENSG00000011332	NM_001135155	RefSeq mRNA ID
ENSG00000011332	NM_001135156	RefSeq mRNA ID
ENSG00000011332	NM_001289978	RefSeq mRNA ID
ENSG00000011332	NM_004647	RefSeq mRNA ID
ENSG00000011332	BAF45b	Synonym
ENSG00000011332	NEUD4	Synonym
ENSG00000011332	neuro-d4	Synonym
ENSG00000011332	Q92782	Uniprot ID
ENSG00000013288	ENSG00000013288	Ensembl Gene ID
ENSG00000013288	ENSP00000285599	Ensembl Protein ID
ENSG00000013288	ENSP00000423129	Ensembl Protein ID
ENSG00000013288	ENSP00000426273	Ensembl Protein ID
ENSG00000013288	23324	Entrez Gene ID
ENSG00000013288	MAN2B2	Gene Name
ENSG00000013288	NP_001278967	RefSeq Protein ID
ENSG00000013288	NP_056089	RefSeq Protein ID
ENSG00000013288	NM_001292038	RefSeq mRNA ID
ENSG00000013288	NM_015274	RefSeq mRNA ID
ENSG00000013288	KIAA0935	Synonym
ENSG00000013288	Q9Y2E5	Uniprot ID
ENSG00000013810	ENSG00000013810	Ensembl Gene ID
ENSG00000013810	ENSP00000326550	Ensembl Protein ID
ENSG00000013810	ENSP00000415914	Ensembl Protein ID
ENSG00000013810	ENSP00000418095	Ensembl Protein ID
ENSG00000013810	ENSP00000418727	Ensembl Protein ID
ENSG00000013810	ENSP00000419210	Ensembl Protein ID
ENSG00000013810	ENSP00000420838	Ensembl Protein ID
ENSG00000013810	ENSP00000478580	Ensembl Protein ID
ENSG00000013810	ENSP00000483196	Ensembl Protein ID
ENSG00000013810	10460	Entrez Gene ID
ENSG00000013810	TACC3	Gene Name
ENSG00000013810	NP_006333	RefSeq Protein ID
ENSG00000013810	NM_006342	RefSeq mRNA ID
ENSG00000013810	ERIC1	Synonym
ENSG00000013810	Q9Y6A5	Uniprot ID
ENSG00000015133	ENSG00000015133	Ensembl Gene ID
ENSG00000015133	ENSP00000330332	Ensembl Protein ID
ENSG00000015133	ENSP00000374506	Ensembl Protein ID
ENSG00000015133	ENSP00000374507	Ensembl Protein ID
ENSG00000015133	ENSP00000451392	Ensembl Protein ID
ENSG00000015133	ENSP00000452406	Ensembl Protein ID
ENSG00000015133	440193	Entrez Gene ID
ENSG00000015133	CCDC88C	Gene Name
ENSG00000015133	NP_001073883	RefSeq Protein ID
ENSG00000015133	NM_001080414	RefSeq mRNA ID
ENSG00000015133	DAPLE	Synonym
ENSG00000015133	HkRP2	Synonym
ENSG00000015133	KIAA1509	Synonym
ENSG00000015133	SCA40	Synonym
ENSG00000015133	Q9P219	Uniprot ID
ENSG00000280987	ENSG00000015479	Ensembl Gene ID
ENSG00000020577	ENSG00000020577	Ensembl Gene ID
ENSG00000020577	ENSP00000251091	Ensembl Protein ID
ENSG00000020577	ENSP00000375919	Ensembl Protein ID
ENSG00000020577	ENSP00000450808	Ensembl Protein ID
ENSG00000020577	ENSP00000452535	Ensembl Protein ID
ENSG00000020577	ENSP00000486821	Ensembl Protein ID
ENSG00000020577	23034	Entrez Gene ID
ENSG00000020577	SAMD4A	Gene Name
ENSG00000020577	NP_001155048	RefSeq Protein ID
ENSG00000020577	NP_001155049	RefSeq Protein ID
ENSG00000020577	NP_056404	RefSeq Protein ID
ENSG00000020577	NM_001161576	RefSeq mRNA ID
ENSG00000020577	NM_001161577	RefSeq mRNA ID
ENSG00000020577	NM_015589	RefSeq mRNA ID
ENSG00000020577	DKFZP434H0350	Synonym
ENSG00000020577	hSmaug1	Synonym
ENSG00000020577	KIAA1053	Synonym
ENSG00000020577	SAMD4	Synonym
ENSG00000020577	Smaug	Synonym
ENSG00000020577	SMG	Synonym
ENSG00000020577	SMGA	Synonym
ENSG00000020577	Q9UPU9	Uniprot ID
ENSG00000020633	ENSG00000020633	Ensembl Gene ID
ENSG00000020633	ENSP00000308051	Ensembl Protein ID
ENSG00000020633	ENSP00000343477	Ensembl Protein ID
ENSG00000020633	ENSP00000382800	Ensembl Protein ID
ENSG00000020633	864	Entrez Gene ID
ENSG00000020633	RUNX3	Gene Name
ENSG00000020633	NP_001026850	RefSeq Protein ID
ENSG00000020633	NP_001307601	RefSeq Protein ID
ENSG00000020633	NP_004341	RefSeq Protein ID
ENSG00000020633	NM_001031680	RefSeq mRNA ID
ENSG00000020633	NM_001320672	RefSeq mRNA ID
ENSG00000020633	NM_004350	RefSeq mRNA ID
ENSG00000020633	AML2	Synonym
ENSG00000020633	CBFA3	Synonym
ENSG00000020633	PEBP2A3	Synonym
ENSG00000020633	Q13761	Uniprot ID
ENSG00000022840	ENSG00000022840	Ensembl Gene ID
ENSG00000022840	ENSP00000322242	Ensembl Protein ID
ENSG00000022840	ENSP00000415682	Ensembl Protein ID
ENSG00000022840	ENSP00000437392	Ensembl Protein ID
ENSG00000022840	ENSP00000438638	Ensembl Protein ID
ENSG00000022840	ENSP00000439221	Ensembl Protein ID
ENSG00000022840	ENSP00000439510	Ensembl Protein ID
ENSG00000022840	ENSP00000439859	Ensembl Protein ID
ENSG00000022840	ENSP00000441487	Ensembl Protein ID
ENSG00000022840	ENSP00000443000	Ensembl Protein ID
ENSG00000022840	ENSP00000443235	Ensembl Protein ID
ENSG00000022840	ENSP00000443790	Ensembl Protein ID
ENSG00000022840	ENSP00000444770	Ensembl Protein ID
ENSG00000022840	ENSP00000445160	Ensembl Protein ID
ENSG00000022840	9921	Entrez Gene ID
ENSG00000022840	RNF10	Gene Name
ENSG00000022840	NP_055683	RefSeq Protein ID
ENSG00000022840	NM_014868	RefSeq mRNA ID
ENSG00000022840	KIAA0262	Synonym
ENSG00000022840	RIE2	Synonym
ENSG00000022840	Q8N5U6	Uniprot ID
ENSG00000027697	ENSG00000027697	Ensembl Gene ID
ENSG00000027697	ENSP00000356713	Ensembl Protein ID
ENSG00000027697	ENSP00000389249	Ensembl Protein ID
ENSG00000027697	ENSP00000394230	Ensembl Protein ID
ENSG00000027697	3459	Entrez Gene ID
ENSG00000027697	IFNGR1	Gene Name
ENSG00000027697	NP_000407	RefSeq Protein ID
ENSG00000027697	NM_000416	RefSeq mRNA ID
ENSG00000027697	CD119	Synonym
ENSG00000027697	IFNGR	Synonym
ENSG00000027697	P15260	Uniprot ID
ENSG00000028203	ENSG00000028203	Ensembl Gene ID
ENSG00000028203	ENSP00000261219	Ensembl Protein ID
ENSG00000028203	ENSP00000380894	Ensembl Protein ID
ENSG00000028203	ENSP00000410083	Ensembl Protein ID
ENSG00000028203	ENSP00000446666	Ensembl Protein ID
ENSG00000028203	ENSP00000447010	Ensembl Protein ID
ENSG00000028203	ENSP00000447044	Ensembl Protein ID
ENSG00000028203	ENSP00000447080	Ensembl Protein ID
ENSG00000028203	ENSP00000447151	Ensembl Protein ID
